,num_followers,num_pub,num_fav,num_alb,num_fol,num_wal,time,top_plays,top_favs,top_genre
130,907,137,9831,20,907,1439,about 10 years ago,106,18,Drum & Bass
131,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
132,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
133,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
134,889,84,12193,7,889,2417,about 5 years ago,1699,153,Experimental
135,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
136,875,79,3275,3,875,1781,about 10 years ago,4230,242,Ambient
137,869,109,2175,6,869,4466,about 8 years ago,18872,582,Other
138,868,14,8442,0,868,686,about 9 years ago,4004,291,uncategorized
139,866,35,6100,5,866,5292,about 7 years ago,16480,555,Trap
140,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
141,852,109,1873,7,852,1013,about 12 years ago,6,2,Ambient
142,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
143,851,308,2292,24,851,5348,about 6 years ago,200,23,Bass Music
144,846,25,981,0,846,475,about 12 years ago,12296,498,Chiptune
145,844,36,1237,4,844,1393,about 6 years ago,13480,447,uncategorized
146,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
147,837,14,144,0,837,975,about 9 years ago,38175,1302,uncategorized
148,828,30,275,0,828,342,about 12 years ago,15059,493,uncategorized
149,825,99,10206,2,825,1866,about 9 years ago,2272,183,uncategorized
150,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
151,822,33,1858,0,822,1375,about 10 years ago,1146,97,Other
152,818,119,2031,5,818,205,about 9 years ago,335,38,uncategorized
153,817,81,4911,4,817,1045,about 11 years ago,3963,127,Techno
154,816,56,2338,7,816,2398,about 10 years ago,136,22,Bass Music
155,813,69,2190,1,813,2734,about 12 years ago,4806,151,uncategorized
156,813,75,1219,1,813,3768,about 7 years ago,2885,195,uncategorized
157,803,202,4022,2,803,2540,about 10 years ago,3756,205,uncategorized
158,797,25,2191,2,797,989,about 9 years ago,1518,128,EDM
159,795,64,350,2,795,5482,about 7 years ago,13355,374,Bass Music
160,792,184,1439,31,792,2407,about 7 years ago,594,57,uncategorized
161,791,6,3698,0,791,2965,about 8 years ago,443,54,Newbie
162,788,4,202,0,788,194,about 6 years ago,711,38,uncategorized
163,778,456,1705,5,778,4099,about 7 years ago,7696,283,Future Bass
164,776,73,5108,0,776,3282,about 3 years ago,742,97,Lo-Fi
165,772,41,8847,21,772,2405,about 7 years ago,2735,140,Trap
166,768,150,229,0,768,251,about 7 years ago,770,81,uncategorized
167,768,217,7355,14,768,1957,about 11 years ago,6149,115,uncategorized
168,766,21,6268,6,766,4643,about 8 years ago,1531,104,Experimental
169,766,14,494,9,766,1359,about 10 years ago,7573,325,uncategorized
170,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
171,762,49,3549,3,762,1424,about 6 years ago,2603,130,Trap
172,760,149,1796,2,760,1322,about 5 years ago,6223,256,Trap
173,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
174,756,598,2439,5,756,848,about 8 years ago,7,0,Pop
175,755,447,1672,4,755,2714,about 5 years ago,109,16,Trap
176,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
177,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
178,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
179,748,160,2454,6,748,7661,about 6 years ago,1916,121,Future Bass
180,746,43,743,0,746,312,about 12 years ago,51488,617,uncategorized
181,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
182,741,22,511,1,741,344,about 3 years ago,949,60,Hip Hop
183,740,56,2302,4,740,2683,about 6 years ago,1872,177,Techno
184,726,31,1204,18,726,4647,about 2 years ago,2731,200,Pop
185,725,158,1716,0,725,429,about 12 years ago,5223,94,uncategorized
186,722,122,2929,5,722,1327,about 10 years ago,4715,256,uncategorized
187,719,502,3860,4,719,1033,about 12 years ago,1540,90,uncategorized
188,717,84,1536,2,717,6149,about 9 years ago,12585,437,uncategorized
189,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
190,710,201,12058,12,710,1522,about 7 years ago,1330,79,uncategorized
191,706,14,2114,0,706,351,about 12 years ago,2024,161,uncategorized
192,704,10,1441,0,704,831,about 6 years ago,946,57,Electro
193,704,2,3636,1,704,1125,about 6 years ago,135,24,Future Bass
194,702,169,1712,5,702,2734,about 10 years ago,154,20,Trap
195,701,133,1143,5,701,1633,about 8 years ago,10732,451,Future Bass
196,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
197,700,583,2618,14,700,3933,about 8 years ago,955,76,Techno
198,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
